surname,firstname,ln.gross,yob,female,margin,school,local
Llewellyn,David,12.13590622,1916,0,0.056904044,Eton,0
Morris,Claud,12.44809055,1920,0,-0.049738325,Regular,0
Walker,George,12.42844963,1914,0,-0.041588679,Public,0
Walker,Harold,11.91845226,1927,0,0.02329524,Regular,0
Waring,John,13.52021885,1923,0,-0.230005816,Public,0
Brown,Ronald,12.46051502,1921,0,0.367970258,Regular,1
Pine,Leslie,11.98583603,1907,0,-0.072641052,Public,0
Pink,Bonner,11.6340313,1912,0,0.21294491,Public,0
Webster,Reginald,12.51625443,1905,0,-0.01446593,Regular,0
Ridley,Jasper,14.66086197,1920,0,-0.130096912,Regular,1
Underhill,Michael,12.55596924,1918,0,-0.054886274,Public,0
Roberts,Thomas,11.08812904,1915,0,-0.035208959,Regular,0
Roberts,Gwilym,11.86298656,1928,0,0.058464177,Regular,0
Roberts,Shelagh,13.69424057,1924,1,-0.301682472,Public,1
Roberts,Gordon,12.43200874,1921,0,-0.139704719,Regular,0
Coles,Gerald,11.46880245,1933,0,-0.07340128,Public,0
Grant,William,12.13590622,1909,0,0.121591456,Public,0
Grant,John,12.71802616,1932,0,0.234982327,Public,0
Rees,Robert,12.00744343,1911,0,-0.058776647,Regular,0
Cryer,Robert,12.47742271,1934,0,-0.098551802,Regular,0
Horne,Hampden,11.94882679,1903,0,-0.168305665,Public,1
Bidgood,John,12.78876209,1914,0,0.071530789,Public,0
Fidler,Michael,13.15902996,1916,0,0.056820601,Regular,1
Faulds,Andrew,12.44809055,1923,0,0.10295593,Regular,0
Greene,Royden,12.42844963,1917,0,-0.088293843,Public,0
McWhirter,Norris,15.03261662,1925,0,-0.033458475,Public,0
Bourne-Arton,Anthony,12.84560013,1913,0,0.088195361,Public,0
Baker,Wilfred,12.44809055,1920,0,0.21129857,Public,0
Baker,Douglas,11.37770844,1931,0,-0.097068436,Regular,0
Stone,Frank,11.83968353,1905,0,-0.155972794,Regular,1
Berkeley,Humphry,12.70203972,1926,0,0.153393641,Public,0
Lee,Edwin,12.25040054,1911,0,-0.293753356,Public,1
Dilks,John,12.84288406,1933,0,-0.188053504,Regular,0
Read,George,12.48967361,1937,0,-0.079581171,Public,0
Cowling,Maurice,12.59795475,1926,0,-0.160563737,Regular,0
Jenkin-Jones,Peter,14.22256851,1928,0,-0.038212713,Public,0
Irving,Sydney,12.31218815,1918,0,0.088085949,Public,1
Torney,Thomas,12.44373798,1915,0,0.043249868,Regular,0
Hindle,John,12.08924484,1920,0,-0.247255087,Regular,0
Tinn,James,12.42844963,1922,0,0.069758371,Regular,0
Davis,James,12.54927731,1928,0,-0.082747735,Public,0
Grundy,Colin,12.09625626,1926,0,-0.003313639,Regular,0
Goodwin,Harry,13.83508396,1909,0,-0.065891661,Public,0
Reeves,Kenneth,12.40266132,1932,0,-0.11689318,Regular,1
Ennals,John,12.73641682,1918,0,-0.053052835,Regular,0
Monks,Constance,11.83859825,1911,1,0.029819164,Regular,1
Normanton,Tom,12.18284035,1917,0,0.020451471,Regular,1
Clippingdale,Harold,12.1201086,1908,0,-0.191514865,Public,0
Pearson-Clarke,Anthony,12.14628029,1923,0,-0.139503628,Regular,0
Hurst,Eric,15.88568974,1914,0,-0.021468319,Regular,0
Havers,Michael,12.13590622,1923,0,0.235448435,Public,0
Williamson,Muriel,12.5872879,1904,1,-0.031723361,Regular,0
Bell,Brian,15.68696022,1921,0,-0.040410206,Regular,0
Bell,David,12.17262554,1926,0,-0.018391639,Public,0
Foord,John,11.99850845,1909,0,-0.011575436,Regular,0
Bradley,Thomas,13.25766373,1926,0,0.098769501,Regular,0
Lawn,William,11.30337048,1907,0,-0.084759995,Regular,0
Carter-Jones,Lewis,12.5811882,1920,0,0.146884412,Regular,0
Larrow,Dennis,11.34424496,1920,0,-0.094972491,Regular,0
Leach,Robin,14.89271545,1938,0,-0.220049113,Public,0
Brum,Robert,11.15843201,1924,0,-0.039678264,Public,0
Shearer,William,12.37208652,1910,0,-0.485874563,Regular,0
Keigwin,Timothy,12.45554733,1921,0,-0.008609426,Public,0
Johnston,Robert,13.03167629,1918,0,-0.058093488,Public,0
Beaumont,Christopher,12.55333805,1926,0,-0.165521011,Public,0
Griffith,Huw,12.37208652,1930,0,-0.062366772,Public,0
Bassett,Philip,12.59795475,1931,0,-0.112112932,Regular,0
Gurden,Harold,13.37553024,1903,0,0.149906307,Regular,0
Moeran,Edward,12.37208652,1903,0,0.034369998,Public,0
Manley,Roy,12.55840302,1930,0,-0.167965293,Public,0
Insley,Noel,12.59795475,1922,0,-0.022152351,Regular,0
Tucker,Geoffrey,12.93239594,1925,0,-0.18558602,Regular,0
Unsworth,Cyril,12.2629509,1925,0,-0.108873151,Public,0
Wegg-Prosser,Charles,11.6527319,1910,0,-0.191152573,Public,1
Attlee,Christopher,12.0808363,1915,0,-0.12924397,Public,0
Russell,Dorothy,11.78296089,1895,1,-0.116642848,Regular,0
Russell,Conrad,13.00191498,1937,0,-0.067679755,Eton,0
Barber,Anthony,11.94604778,1920,0,0.007737879,Regular,0
Edmonds,Richard,11.81514454,1910,0,-0.143551365,Public,0
Benenson,Peter,13.02210999,1921,0,-0.01863762,Eton,1
King,Horace,12.51008701,1901,0,0.026501564,Regular,0
Derbyshire,William,12.44809055,1913,0,-0.148557678,Regular,0
Hooker,Michael,13.29814243,1923,0,-0.123763181,Public,0
Waite,Geoffrey,9.760890007,1925,0,-0.082264863,Public,0
Thompson,Richard,14.03788757,1912,0,0.021801556,Public,0
Thompson,Kenneth,11.84294128,1909,0,0.080306396,Regular,0
Thompson,Frank,12.44809055,1938,0,-0.058526304,Regular,0
Crehan,Thomas,10.61162853,1919,0,-0.079055354,Regular,0
Janis,Morris,13.09868622,1913,0,-0.091724455,Regular,0
Rippon,Geoffrey,14.00491905,1924,0,0.049437571,Regular,1
Cleaver,Leonard,13.08046055,1909,0,0.030386802,Public,0
Matterson,Alan,12.70423985,1929,0,-0.055126131,Regular,0
Moody,Aubrey,11.25135326,1911,0,-0.015711481,Eton,0
Warren,Brian,12.4029789,1914,0,-0.061895553,Public,0
Johnson,Walter,12.51902008,1917,0,0.088293843,Regular,1
Johnson,Carol,12.86856556,1903,0,0.072639398,Regular,1
Leitch,Alexander,12.43200874,1926,0,-0.164692625,Regular,0
Richardson,Josephine,12.09625626,1923,1,-0.058897145,Regular,1
Richardson,Francis,12.39494991,1914,0,-0.082849272,Public,0
Richardson,Kenneth,10.85843658,1912,0,-0.197824299,Regular,0
Miller,Maurice,12.6048851,1920,0,0.08096806,Public,0
Patient,Alan,12.46051502,1930,0,-0.139306635,Public,0
Adley,Robert,12.91753674,1935,0,0.010033445,Public,0
Hanbidge,Lewis,11.43675995,1890,0,-0.129396439,Regular,0
Walsh,Robert,12.09625626,1911,0,-0.073268592,Regular,0
Ridsdale,Julian,13.05743694,1915,0,0.22360836,Public,0
Parris,Edward,12.4029789,1915,0,-0.085829407,Regular,0
Gray,Alfred,11.43675995,1900,0,-0.103772007,Regular,0
Lofthouse,Francis,12.1201086,1926,0,-0.172695652,Regular,0
Lamb,Richard,15.93645191,1911,0,-0.125369638,Regular,0
Tomney,Frank,12.81000042,1908,0,0.087471366,Regular,1
Oakes,Gordon,13.80791473,1931,0,0.074687868,Regular,1
Lowe,William,13.72416687,1933,0,-0.257291406,Regular,0
Burden,Frederick,12.59060383,1905,0,0.053431977,Regular,0
Nurse,Graham,12.51902008,1941,0,-0.038018033,Regular,0
MacDonald,Alistair,12.42844963,1925,0,0.016050728,Regular,0
Marks,Kenneth,10.36301517,1920,0,0.137402341,Regular,0
Henry,Martin,12.42844963,1912,0,-0.013672409,Regular,1
Routledge,K Graham,11.48853207,1927,0,-0.077197984,Public,0
Lewis,Kenneth,14.10416317,1916,0,0.148758098,Regular,0
Lewis,Ronald,12.14628029,1909,0,0.050401788,Regular,0
Fitt,Gerard,13.53912067,1926,0,0.0397643,Regular,0
Foley,Maurice,12.41399479,1925,0,0.102821708,Regular,1
Marten,Neil,13.40546799,1916,0,0.128655195,Public,0
Ripley,Sydney,12.83901024,1909,0,-0.010877712,Public,0
Ascher,Conrad,13.28078175,1930,0,-0.022730399,Public,0
Papworth,Anne,10.84884644,1907,1,-0.207352266,Regular,0
Crotty,Patrick,12.06219006,1919,0,-0.152917624,Regular,0
McCrindle,Robert,13.32674122,1929,0,0.043220673,Regular,0
Allen,Donald,11.82233524,1940,0,-0.023602244,Regular,0
Orme,Stanley,12.00868988,1923,0,0.109486677,Regular,1
Orme,Robert,11.48383904,1908,0,-0.180529729,Public,0
O'Reilly,Noel,12.61510181,1906,0,-0.076018102,Regular,0
Mactaggart,Ian,11.86298656,1923,0,-0.118204504,Public,0
Tilney,John,11.73530865,1907,0,0.151388481,Regular,0
Woodhouse,Christopher,13.12671661,1917,0,0.161371887,Public,0
Coulson,Michael,12.71086025,1927,0,0.013467368,Public,1
Beard,Paul,13.08229542,1930,0,-0.073692761,Regular,0
Tylecote,Mabel,11.16172123,1896,1,-0.049437571,Regular,0
Leadbeater,David,12.44373798,1907,0,-0.170131415,Regular,0
Ogden,Michael,14.6469183,1926,0,-0.093287937,Public,0
Huzzard,Ronald,12.44373798,1920,0,-0.030132463,Regular,0
Thomas,Roger,12.4029789,1905,0,-0.141734764,Regular,1
Cavanagh,Edward,12.09691525,1912,0,-0.035002183,Regular,1
Payne,Kenneth,12.79774475,1920,0,-0.161113456,Regular,0
Ford,Donald,12.17262554,1924,0,-0.062282018,Regular,1
Renier,Olive,12.74772739,1913,1,-0.145039871,Regular,0
Crabb,Rowland,12.39929962,1914,0,-0.007057366,Regular,0
Stanley,Neville,12.17982769,1892,0,-0.087923475,Regular,1
Brierley,Eric,12.2407198,1912,0,-0.050961435,Regular,0
Hallinan,Lincoln,12.37208652,1922,0,-0.065732032,Public,0
Rogers,Albert,12.42844963,1911,0,-0.127646625,Regular,1
Rogers,Katherine,12.09152126,1908,0,-0.023569226,Regular,1
Rodgers,John,13.51984406,1906,0,0.157189339,Public,0
Howson,Clive,12.51562214,1922,0,-0.057382282,Public,0
Maxwell,David,12.09625626,1913,0,-0.169646636,Regular,0
Alport,Cuthbert,13.09686756,1912,0,0.020225061,Public,0
Brinton,Tatton,14.2850914,1916,0,0.142405987,Eton,1
Bray,Jeremy,12.46051502,1930,0,0.025742486,Regular,0
Bray,Ronald,13.2081337,1922,0,0.04818536,Public,0
Stuart-Mills,John,11.81514454,1931,0,-0.469758928,Regular,0
Higgs,Michael,12.26897049,1912,0,0.003853721,Regular,0
Higgs,Thomas,12.44373798,1913,0,-0.009964144,Regular,1
Webb,Dennis,12.16807938,1901,0,-0.045031216,Regular,0
Murray,Richard,12.14628029,1920,0,-0.151416227,Regular,0
Murray,Neil,12.70378113,1923,0,-0.211074501,Regular,0
Murray,James,11.74024105,1929,0,-0.191473082,Regular,1
Beale,William,13.61345196,1920,0,-0.096439704,Public,0
Corfield,Frederick,14.02127552,1915,0,0.041297793,Public,0
Hamilton,Michael,12.44809055,1918,0,0.01337099,Public,0
Horrocks,Robert,11.34424496,1923,0,-0.055900872,Regular,0
Boyden,James,13.25772858,1910,0,0.211074501,Regular,0
Young,David,12.6606102,1928,0,-0.07233686,Public,0
Courtney,Anthony,10.45913029,1908,0,0.144481421,Regular,0
Kitts,Albert,10.73416424,1911,0,-0.225506827,Regular,0
Partridge,Ernest,11.37770844,1895,0,0.014127202,Regular,1
Partridge,Graham,13.93413925,1916,0,-0.101998962,Public,0
Shaw,Arnold,11.20268154,1909,0,0.058182489,Regular,0
Churchill,Winston,12.44373798,1940,0,0.075408973,Eton,0
Taylor,Ewart,12.41399479,1927,0,-0.064539239,Regular,0
Taylor,Frank,12.51902008,1907,0,0.12882781,Public,0
Taylor,James,12.82492352,1926,0,-0.134792715,Regular,0
Curran,James,12.59222126,1945,0,-0.195933536,Regular,0
Lyon,Alexander,12.1201086,1931,0,0.104749806,Regular,0
Edwards,Anthony,13.85093689,1931,0,-0.136134744,Public,0
Hingston,Frederick,13.35220814,1911,0,-0.045761604,Public,0
Soames,Christopher,15.31922436,1920,0,0.045783289,Eton,0
Gower,Raymond,12.55594063,1916,0,0.034511626,Regular,0
Powe,Frederick,10.76425457,1903,0,-0.201271564,Regular,1
Chesworth,Donald,12.17262554,1923,0,-0.003853721,Regular,0
Field,Xenia,14.98322296,1894,1,-0.017175136,Public,0
White,Eirene,12.93357944,1909,1,0.15093191,Regular,0
White,Roger,12.39929962,1928,0,0.018991999,Regular,0
Boyle,William,11.43675995,1903,0,-0.257683039,Regular,0
Hornsby-Smith,Dame Patricia,11.832551,1914,1,0.002966147,Regular,0
Douglas-Mann,Bruce,13.85093689,1927,0,0.135553151,Public,1
Lawson,Charles,12.26749134,1897,0,-0.048081692,Public,0
MacKenzie,Donald,12.1201086,1932,0,-0.140603393,Regular,0
Le Marchant,Spencer,14.76024055,1931,0,0.033623215,Eton,0
Speir,Rupert,13.55333805,1910,0,0.192109644,Eton,0
Smith,Patten,12.4029789,1917,0,-0.21294491,Regular,0
Morgan,Geraint,13.44309616,1920,0,0.107914507,Regular,0
Morgan,Frederick,12.33837795,1927,0,-0.037555773,Regular,0
Morgan,Leslie,12.46051502,1926,0,-0.107066214,Regular,0
Bowyer,John,12.60582924,1930,0,-0.086094603,Public,0
Dyer,Henry,13.60857582,1902,0,-0.113109782,Regular,1
Alison,Michael,15.19918346,1926,0,0.176344082,Eton,0
Bullus,Eric,12.4305315,1906,0,0.172343522,Regular,0
Longden,Gilbert,12.77808094,1902,0,0.203940421,Public,0
John,Thomas,12.37208652,1910,0,-0.264067084,Public,0
Allaun,Frank,12.46051502,1913,0,0.04433725,Regular,0
Hodge,Robert,12.74939919,1927,0,-0.059584245,Regular,0
Hickman,Robert,12.17262554,1938,0,-0.005956645,Regular,0
Lucas,Percy,13.48951912,1915,0,0.022291005,Regular,0
Quas-Cohen,K A,12.09971809,1913,0,-0.258799076,Public,0
Bishop,Leonard,12.4906168,1937,0,-0.079228148,Regular,0
Mitchell,Richard,12.29727173,1927,0,0.047920186,Regular,1
Mitchell,Colin,12.4029789,1925,0,0.140495241,Regular,0
Page,Derek,12.37208652,1927,0,0.002428998,Regular,1
Stonehouse,John,11.81514454,1925,0,-0.014948506,Regular,0
Fisher,Nigel,13.15218353,1913,0,0.033497859,Eton,0
Barnard,Douglas,12.09625626,1924,0,-0.158535764,Regular,0
Parkinson,Arnold,12.61283398,1921,0,-0.052728351,Regular,0
Pike,Leonard,12.47973251,1919,0,-0.103374697,Regular,0
Allaker,Lawrence,12.44373798,1904,0,-0.175021723,Regular,0
Barnett,Guy,12.68792534,1928,0,-0.019245416,Public,0
Boyd,Christopher,12.48967361,1916,0,0.037405357,Public,0
Owens,Bernard,14.31635475,1928,0,-0.147216007,Public,0
Critchley,Julian,12.44809055,1930,0,0.019674212,Public,0
Pegler,Alfred,12.53365135,1924,0,-0.144685715,Regular,1
McKitterick,Thomas,12.50183296,1914,0,-0.017893031,Regular,0
Urwin,Kenneth,13.27022457,1920,0,-0.125125006,Regular,0
Fletcher-Cooke,Charles,14.66213131,1914,0,0.086823568,Public,0
Ponsonby,Thomas,13.26972008,1930,0,-0.196714759,Public,1
Walter,Alison,12.37208652,1915,1,-0.174996704,Regular,0
Royle,William,12.13444042,1921,0,-0.144080997,Regular,0
Fraser,Ian,13.23875046,1916,0,0.115094565,Public,0
Loughlin,Charles,12.1201086,1914,0,0.123600893,Regular,0
Hyam,Sydney,12.46658802,1917,0,-0.124786161,Public,0
Jenkins,Hugh,13.49108791,1908,0,0.023889164,Regular,0
Leighton,Ronald,12.94439411,1930,0,-0.038429558,Regular,0
Denman,Harold,13.07971668,1922,0,-0.242339432,Public,0
Martin-Jones,David,12.63683891,1921,0,-0.186340824,Public,0
Wedgwood,John,11.03131294,1907,0,-0.018822797,Public,0
Beattie-Edwards,Thomas,13.36706734,1921,0,-0.225883797,Regular,0
Kaberry,Donald,13.06046486,1907,0,0.229635656,Regular,0
Orr-Ewing,Charles,15.24988937,1912,0,0.048237357,Regular,0
Heath,Edward,15.57725525,1916,0,0.002364781,Regular,1
Napley,David,12.65407372,1915,0,-0.017826501,Regular,0
Stogdon,Norman,12.4029789,1909,0,-0.087633573,Public,0
Bence,Cyril,12.13590622,1902,0,0.065773308,Regular,0
Scott-Miller,Ronald,12.13590622,1904,0,0.021805404,Regular,0
Lagden,Godfrey,12.09691525,1906,0,0.021724328,Regular,1
Sloan,Norman,13.94037914,1914,0,-0.145092145,Regular,0
May,Richard,12.5811882,1938,0,-0.1295681,Public,0
Bazin,James,13.38290787,1913,0,-0.15833424,Regular,0
Scholfield,Michael,13.60297585,1920,0,-0.203266531,Regular,0
Aldridge,Harold,12.5811882,1916,0,-0.110971361,Regular,0
Radford,Patrick,14.69969463,1920,0,-0.10644637,Public,0
Burgess,Lewis,11.08243275,1922,0,-0.199450448,Regular,0
Gardner,Edward,14.64808846,1912,0,0.0765725,Regular,0
Hart,Norman,13.47636795,1925,0,-0.132798731,Regular,0
Newey,John,11.61452293,1923,0,-0.184170812,Regular,0
Butcher,Bruce,12.33837795,1910,0,-0.039130222,Regular,0
Fawcett,John,13.10481167,1930,0,-0.090919457,Public,0
McNair-Wilson,Michael,12.30914116,1930,0,0.017289368,Eton,0
Green,Alan,15.21859455,1911,0,0.011147696,Public,0
Grigg,John,14.37883759,1924,0,-0.08915668,Eton,0
Daly,James,13.19882011,1936,0,-0.14843078,Regular,0
Potter,Dennis,13.56173801,1935,0,-0.127373472,Regular,0
Potter,Leslie,12.4305315,1923,0,-0.145597026,Regular,0
Lister,Peter,12.46051502,1923,0,-0.060487039,Regular,0
Barrington-Ward,Frank,11.27648354,1928,0,-0.070403539,Public,0
Skeet,Trevor,13.76570606,1918,0,0.051147934,Public,0
Caplan,Leonard,13.14204979,1909,0,-0.084912956,Regular,0
Medd,Patrick,13.11338902,1919,0,-0.098689653,Public,0
Bangay,John,12.61614799,1916,0,-0.13578932,Regular,1
Silkin,John,13.55340099,1923,0,0.333027184,Public,0
Silkin,Samuel,13.591012,1918,0,0.060994815,Public,1
Heselton,Philip,12.48967361,1926,0,-0.047510438,Public,0
Astor,Jacob,16.31149101,1918,0,0.012433019,Eton,0
Astor,John,15.44864368,1923,0,0.108957693,Eton,1
Powell,Enoch,12.6532011,1912,0,0.015698837,Regular,0
Parker,Thomas,12.21061039,1909,0,-0.01388505,Regular,0
Prendergast,Michael,10.69848442,1921,0,-0.069885768,Regular,0
Emery,Peter,14.65335655,1926,0,0.080967836,Regular,1
Gardiner,Gerald,11.07175732,1900,0,-0.043316007,Public,0
Stokes,John,13.61974239,1917,0,0.051948052,Public,0
MacMillan,Maurice,14.5854044,1921,0,0.027870072,Eton,1
Hughes,Cledwyn,12.4305315,1916,0,0.020238783,Regular,0
Leadbitter,Edward,13.07689285,1919,0,0.058631055,Regular,1
James,Howell,12.00651836,1910,0,-0.011605206,Regular,0
Allison,Peter,12.48967361,1933,0,-0.074121155,Regular,0
Allison,John,11.81514454,1919,0,-0.145870835,Regular,0
Loftus,William,12.13590622,1921,0,-0.407240957,Regular,0
Lane,David,14.0831337,1922,0,0.106675379,Eton,0
Priestley,Leslie,12.17262554,1915,0,-0.102381676,Regular,0
Sutton,David,12.39929962,1937,0,-0.108854607,Regular,1
Way,Michael,12.55333805,1942,0,-0.486311972,Public,0
Scurfield,George,12.17262554,1920,0,-0.106675379,Regular,0
Hall,Percy,12.35269642,1909,0,-0.166433573,Public,0
Biggs-Davison,John,10.95826721,1918,0,0.050496891,Public,0
Sefton,William,12.4305315,1915,0,-0.111111112,Regular,0
Woodburn,Gordon,11.42061996,1928,0,-0.216280773,Public,0
Parry,Gordon,12.71638012,1925,0,-0.022359459,Regular,0
Dunkley,Kenneth,11.72827721,1920,0,-0.081751578,Regular,0
Carlisle,Mark,13.60090542,1929,0,0.169307247,Public,0
O'Connor,Arthur,11.81514454,1934,0,-0.417057365,Regular,0
Spence,John,13.93869495,1920,0,0.012001953,Regular,0
Evans,Dengar,11.14469624,1909,0,-0.120970145,Regular,0
Evans,Ioan,9.401908875,1927,0,0.003721893,Regular,0
Evans,Gwyn,11.03540707,1931,0,-0.176937968,Regular,0
Bean,Robert,11.26262665,1935,0,-0.17679508,Regular,1
Levin,Ian,11.47230816,1914,0,-0.071772896,Regular,0
Toch,Henry,12.59528637,1923,0,-0.15676105,Regular,0
Neate,Eric,12.97402,1905,0,-0.129762292,Regular,0
Griffin,Robert,12.22336292,1900,0,-0.087734155,Regular,0
Lonsdale,Richard,11.81514454,1913,0,-0.226617977,Regular,0
Luard,Evan,12.83600235,1926,0,0.046145648,Public,0
Butler,Joyce,12.73762131,1910,1,0.078421429,Regular,1
Butler,Victor,10.77098179,1911,0,-0.067873575,Regular,0
Lipman,Cyril,13.9055233,1918,0,-0.174664915,Public,0
Heffer,Eric,12.17262554,1922,0,0.072653636,Regular,0
Whitlock,William,12.4305315,1918,0,0.099333584,Regular,0
Haseldine,Norman,12.44373798,1922,0,0.04050272,Regular,0
Davies,Herbert,12.40503979,1911,0,-0.065810964,Regular,1
Davies,John,12.14628029,1914,0,-0.145930097,Regular,0
Davies,Wyndham,11.43675995,1926,0,0.008924916,Public,0
Cutler,Horace,12.88262177,1912,0,-0.126525804,Regular,0
Argyle,Michael,9.802969933,1915,0,-0.097273245,Public,0
Bennett,Frederic,13.72031307,1918,0,0.00876531,Regular,0
Bennett,Lionel,12.4305315,1929,0,-0.182772085,Regular,0
Murphy,Brian,12.21061039,1929,0,-0.08194425,Public,0
St Clair,Malcolm,14.53984547,1927,0,-0.124724418,Eton,0
Tennant,Alison,14.46441841,1903,1,-0.095693015,Public,0
Holding,Norman,12.16117382,1931,0,-0.176344082,Regular,0
Collings,Geoffrey,12.4029789,1913,0,-0.0014478,Regular,0
Hill,James,12.42844963,1924,0,0.034742706,Public,0
Matthews,Gordon,12.63502407,1908,0,0.004987389,Public,0
Vickers,Joan,13.44778919,1907,1,0.001899624,Public,0
Clarke,Terence,12.51373959,1904,0,0.019225292,Public,0
Yates,William,12.1201086,1921,0,0.012726304,Public,0
Holdsworth,Albert,12.64053917,1909,0,-0.067570582,Regular,0
Bidwell,Sydney,12.37208652,1917,0,0.142971739,Regular,0
Hastings,Stephen,13.51797676,1921,0,0.109212637,Eton,0
Cooper,John,12.42844963,1921,0,-0.039926022,Regular,0
Dunn,James,11.37770844,1926,0,0.110571615,Regular,0
Bullard,Denys,13.369133,1912,0,0.013194818,Regular,0
Ratcliffe,Joyce,11.95521545,1910,1,-0.074326061,Regular,1
Donovan,William,12.35146618,1903,0,-0.026974561,Regular,1
Browne,Percy,12.95700359,1923,0,0.059708968,Eton,0
Hirst,Geoffrey,13.83780003,1904,0,0.001930548,Public,0
Boydell,Peter,14.14927197,1920,0,-0.050401788,Public,0
Cronin,John,13.60904217,1916,0,0.097273245,Regular,0
Cheetham,Stanley,12.13590622,1912,0,-0.084373534,Public,0
Hinchcliffe,Denton,12.13409901,1907,0,-0.209052876,Regular,0
Brannan,Martin,12.09625626,1909,0,-0.187458619,Public,1
Harman,Anthony,12.60074615,1912,0,-0.085235342,Regular,0
Chandler,Maurice,12.18675518,1920,0,-0.056648776,Regular,0
Gordon,Dennis,10.7268486,1915,0,-0.140056178,Regular,1
Scott,Nicholas,12.63367271,1933,0,0.067679755,Regular,1
Glyn,Alan,15.43469715,1918,0,0.043979745,Public,0
Rutter,William,12.44373798,1910,0,-0.129133359,Regular,1
McLean,Neil,12.90451813,1918,0,0.027895695,Eton,0
Lindsay,James,13.46525574,1906,0,0.146740049,Eton,0
Alderson,John,12.4305315,1931,0,-0.188212201,Regular,0
Pritchard,Thomas,12.46051502,1922,0,-0.064877525,Regular,0
Adkins,Banner,12.02733231,1916,0,-0.068304159,Regular,0
Reynolds,John,12.14628029,1925,0,-0.0740453,Regular,0
Amery,Julian,15.59376907,1919,0,0.020744869,Eton,0
Park,Trevor,12.06219006,1927,0,0.015004382,Regular,1
Swain,Mervyn,12.33837795,1910,0,-0.073642351,Regular,0
Mayer,George,11.57471943,1920,0,-0.136739433,Regular,0
Gibson-Watt,David,15.40265751,1918,0,0.210237205,Eton,0
Budgen,Nicholas,12.71186638,1937,0,-0.304188073,Public,0
Hunt,Dennis,12.1201086,1929,0,-0.056820601,Regular,0
Fox,Marcus,13.15024471,1927,0,0.114922896,Regular,1
Nicholls,Harmar,14.4133215,1912,0,0.002899368,Regular,0
Arbuthnot,John,14.80275917,1912,0,0.04413395,Eton,0
Singleton,Geoffrey,8.805781364,1916,0,-0.246039554,Regular,1
How,William,8.502623558,1915,0,-0.16457811,Eton,0
Mills,Peter,12.16187286,1921,0,0.055004388,Public,0
Maynard,Francis,9.726797104,1903,0,-0.027682973,Public,0
Fowler,Sir Gerald,12.54548645,1935,0,0.018178692,Regular,0
Stanbrook,Ivor,12.48967361,1924,0,0.025646996,Regular,0
Jones,Arthur,14.5760994,1915,0,0.085419446,Regular,1
Jones,Daniel,12.62727356,1908,0,0.139428124,Regular,0
Leask,Murray,12.58162117,1934,0,-0.333027184,Public,0
Owen,Idris,14.60377121,1912,0,0.022098185,Regular,0
Nicholson,Marjorie,12.94747543,1914,1,-0.217741743,Regular,0
Norton,Joseph,13.30686855,1912,0,-0.018038245,Regular,0
Hargreaves,Kenneth,13.98959732,1903,0,-0.054354101,Public,0
Perry,George,12.33837795,1920,0,0.006469577,Regular,1
Pitt,David Thomas,12.681283,1913,0,-0.093558833,Regular,1
Pitt,Terence,11.75195694,1937,0,-0.032622334,Regular,0
Hockton,Thomas,13.47094154,1925,0,-0.065272659,Regular,0
Lomas,Kenneth,12.44809055,1922,0,0.030925345,Regular,0
Price,William,11.14151192,1934,0,0.009384608,Regular,0
Frears,John,13.22255898,1936,0,-0.11855147,Public,0
Huddart,Joseph,13.18189907,1911,0,-0.065332867,Regular,0
Bevins,Reginald,12.4029789,1908,0,0.059918582,Regular,0
Youngson,Robert,8.433170319,1908,0,-0.154781133,Public,0
Scott-Hopkins,James,11.70354748,1921,0,0.027624154,Eton,0
Clapham,Brian,13.14447403,1913,0,-0.094627433,Regular,0
Hiley,Joseph,13.42472553,1902,0,0.143344641,Regular,1
Cope,Joyce,12.655159,1921,1,-0.132690296,Regular,0
Reid,Alastair,12.00150585,1925,0,-0.251878619,Regular,0
Hawkins,Paul,12.59776783,1912,0,0.003643365,Public,0
Hawkins,George,12.09691525,1919,0,-0.102821708,Regular,0
Tresman,John,12.41399479,1926,0,-0.325622708,Regular,0
Lawton,Kenneth,12.67013168,1924,0,-0.138151452,Regular,0
Jonas,George,12.59795475,1928,0,-0.076550297,Regular,0
Braine,Bernard,13.18476868,1914,0,0.09267278,Regular,0
Sisson,Douglas,12.41651726,1921,0,-0.074687868,Regular,0
Leavey,Anthony,14.44626427,1915,0,0.066270284,Regular,0
Wilde,Ivor,10.62002277,1921,0,-0.085419446,Regular,0
Wallace,William,12.09691525,1912,0,-0.001031145,Regular,1
Brown,Roger,12.59795475,1929,0,-0.161202922,Regular,0
Davies,Clifford,12.37208652,1910,0,-0.174687743,Regular,0
Grant,Alec,13.98940182,1932,0,-0.182944968,Public,0
Jones,George,12.09691525,1938,0,-0.142405987,Regular,0
Morris,Norman,12.68599701,1913,0,-0.245875746,Regular,0
Smith,Kathleen,12.71696854,1929,1,-0.200647727,Regular,0
Smith,Ronald,12.4029789,1937,0,-0.100796334,Regular,0
Thompson,Donald,12.55333805,1931,0,-0.159207359,Regular,0